token_address,from_address,to_address,value,transaction_hash,log_index,block_timestamp,block_number,block_hash,
0x23b92f5568fc401b4123c9efc68a5ac541de530a,0x23b92f5568fc401b4123c9efc68a5ac541de530a,0xcd7642260fb84ce6d28730f6579d4f6ab26c8369,8,0x72289ba9424cb4554d182fb18324571437d474d9636aa77148066ffcb1361239,0,2016-02-08 10:24:19 UTC,972185,0x035a9080bcc5d1d61799c8905a65b9090733b25d42f4e89d4362223653c80f95,
0x23b92f5568fc401b4123c9efc68a5ac541de530a,0x23b92f5568fc401b4123c9efc68a5ac541de530a,0xcd7642260fb84ce6d28730f6579d4f6ab26c8369,8,0x63c316048c55f8dcfa1b36f51448b1a299e519d4d29df0dc249b3d1c51abdc17,4,2016-02-08 10:28:31 UTC,972195,0x08cb9d3f0e36ca3600a5aac4a9d5fe4d6dfa39f108603734df68e857f123a9f4,
0x3abb6f8cee367db4d709fcee18af4c03742c2451,0xa46fcc88d1e03f79e264ec48bcf05094401a6962,0x4e49a9d8d470a8dd4ebd2136f69d98f116d3e71c,100,0x33ad18b76526edf51d1a69b2ca5e6053f12fec72b79d299d088405bc112abc8d,0,2016-02-08 19:36:46 UTC,974135,0xd6ee8740273751a67d503932fbd2fbfa57db56f24fed573591f04cbadb78c041,
0x52d3fbd8fc248cb85d09fe300e932dd25c37c5f5,0x0abcd15242b37b8f90900f712ce492fea0ee15c0,0xce298469cd3b81d225e8b5fc7e2db0de3d40006e,750,0xab7482fdef90b705b0aa579115cc4dc05638f2d500cb2c06eb098f07221fc5cb,0,2016-02-08 10:52:26 UTC,972269,0x17bdb075cd946089138a5583bb4089832598b7aa383c7a63cf375ad7e9cd72d6,
0x6aa323340abd0f818b08145e56c20ecac25dcc32,0x4e49a9d8d470a8dd4ebd2136f69d98f116d3e71c,0x83985fc6a12fc5a7bbd88aa8d7e0f1bf48105bb5,27,0xe9c89f88740302759f0e9d2a8fdaea4c04f1e942136e58d632cc5ec29b449c51,0,2016-02-08 21:39:41 UTC,974572,0x248cbb5bda15a65a04686bb1e7638df9a22a10740c45dc3cf40d727c615c29d1,
0xa04bf47f0e9d1745d254b9b89f304c7d7ad121aa,0x60ca8cc989eb9ef854ceee545c101f9c877785f9,0xe9682b90edbea2a6d50199a32b159214bd38ced1,300000000,0xd8484c8dd9497a5487d67c7891e67d05ac2c6ecf8ba5b2bb861d400645ff13ef,2,2016-02-08 14:18:55 UTC,973035,0x7bed293569fb4d1b4761558633d9d39a1d34064bb2f256524bd03661b560ded4,
0xa04bf47f0e9d1745d254b9b89f304c7d7ad121aa,0x66366d2fea7606d19335c12ce84d9e5a191a60ad,0x960fd4050de1a7f757c03eda595e13869157a446,1000,0x0e1985dd12129535c43606bf8a8cc66dd226652574ac7b8ac8015ef9ee0f8e1d,2,2016-02-08 01:17:19 UTC,970275,0xc8b8a520d0c06dbadfe64be8c5813c2d30658ef00ac8835086428dab092c0582,
0xa04bf47f0e9d1745d254b9b89f304c7d7ad121aa,0x66366d2fea7606d19335c12ce84d9e5a191a60ad,0x960fd4050de1a7f757c03eda595e13869157a446,88000,0x04a3811d2a582f31efd097fb6032404c6eb981b9c626eab1e0829f9e85e33f47,2,2016-02-08 03:38:39 UTC,970781,0xb29bb6a308fe65eb2256860d1c51a085579cc3ca2f9dad67fc69c5465485aea6,
0xa04bf47f0e9d1745d254b9b89f304c7d7ad121aa,0x66366d2fea7606d19335c12ce84d9e5a191a60ad,0x960fd4050de1a7f757c03eda595e13869157a446,100000,0xcaf47fa051449ae8a43f145554c786d87374674dcacfa114827f6b0066a229f0,2,2016-02-08 02:02:01 UTC,970436,0x4f043cfada9b60cc0017fe8334da9c213044d12ec0afdf8acbd8709276d45fd1,
0xa04bf47f0e9d1745d254b9b89f304c7d7ad121aa,0x66366d2fea7606d19335c12ce84d9e5a191a60ad,0x960fd4050de1a7f757c03eda595e13869157a446,1000,0x4d617916b30aabf4f38715c02749f9e340c3f03c5cdd45bd60b10c5d88dcab0f,2,2016-02-08 02:46:57 UTC,970583,0xc83e6432549e936f8e7df54fe0ad2210acceccc2973bf58cbf15a20972f6172c,
0xa04bf47f0e9d1745d254b9b89f304c7d7ad121aa,0x66366d2fea7606d19335c12ce84d9e5a191a60ad,0x960fd4050de1a7f757c03eda595e13869157a446,6000,0x54a0539674d5f2d8e3348c625e7db453c31db2a527f83870e38162b7527d9ed0,2,2016-02-08 02:44:18 UTC,970572,0xb7afa9a91fc4e2a4ca73beec523b7dafb71e8acb64f186254a5a2f12cd43e73c,
0xa04bf47f0e9d1745d254b9b89f304c7d7ad121aa,0x66366d2fea7606d19335c12ce84d9e5a191a60ad,0x960fd4050de1a7f757c03eda595e13869157a446,1000,0x80178960c883ef301f358347de92eee0af501e9ac351f4ab7ea8429da5981f21,2,2016-02-08 02:45:47 UTC,970578,0x96dd957526cd2c572c9324dbd55867e620aa8df0b39ef0cfb65e03e9f5fddbb8,
0xa04bf47f0e9d1745d254b9b89f304c7d7ad121aa,0x66366d2fea7606d19335c12ce84d9e5a191a60ad,0x960fd4050de1a7f757c03eda595e13869157a446,100000,0x2e22bfd9458da470dddb1d92741f9257327e14d488ced87a0dc94fd690871336,2,2016-02-08 02:09:46 UTC,970466,0x1ba87c340870317e1f0a2e2f27b17f3dd2a516d1c58ff9a21a540e9bb4259080,
0xa04bf47f0e9d1745d254b9b89f304c7d7ad121aa,0x8925beb7cf8357a5853f1927c3645480869c3cd6,0x913438389be0b3bdd08e812ecde9be9a6c17864f,600000,0xaff3ba5e87fb0670527da42515038f8a1ca276c7b0367bc3c105323d5e5c78db,2,2016-02-08 04:42:12 UTC,971007,0x186e204edf8b554b0216bd9d49e842299d396be9c24f88967f077c973df01863,
0xa04bf47f0e9d1745d254b9b89f304c7d7ad121aa,0xe9682b90edbea2a6d50199a32b159214bd38ced1,0x60ca8cc989eb9ef854ceee545c101f9c877785f9,225000000,0xdb5591259e18b6fdf24caf907a9b2cac9c8bce01459b8485ad90bc0cc4a40b25,10,2016-02-08 14:20:27 UTC,973039,0xd70e6f8dff324d959b73e4e436786a086c721e23349ecb9ce1178b2fdd5269f6,
0xa04bf47f0e9d1745d254b9b89f304c7d7ad121aa,0xe9682b90edbea2a6d50199a32b159214bd38ced1,0x60ca8cc989eb9ef854ceee545c101f9c877785f9,75000000,0x74af0ad18a427724fc2bdd796171e3c409c7dad34e13b7139798da249b0820ab,2,2016-02-08 14:29:30 UTC,973066,0xd8e9f15fe139de535a1f0e8010a32d34005cf3abad34362e70e82ccfb03bc355,
0xc86d80c114957b4cf82e8ce87e3f55217688c56d,0x3310ece233b86ea762776dc4aba61f9b9706fc7b,0xc86d80c114957b4cf82e8ce87e3f55217688c56d,100,0x16a79b9f98f151c496805c8cf42e03a107765f2d8b2d402b88d760cd0cf57f8a,0,2016-02-08 16:25:06 UTC,973504,0xaf519d4721df67c6e5d475dae1edcc783ae953fd5d9e2cb9669e858d17cc8103,
0xc86d80c114957b4cf82e8ce87e3f55217688c56d,0xc86d80c114957b4cf82e8ce87e3f55217688c56d,0xcd7642260fb84ce6d28730f6579d4f6ab26c8369,7,0x9eb4a271ff99aa1a6bb0844ae74f4973a2509d66d521ba106f3a0f4d2a573640,16,2016-02-08 16:30:18 UTC,973522,0x25594f5a14f83f8b5edd3d697a18a29e59f39ecaf50d9ab057e6446a9aab7817,
