address,symbol,name,decimals,total_supply,
0x06d4da27befcd5714c2f6353bb2e178a4d20dcd0,ANKR,Ankr Network,18,10000000000000000000000000000,
0x06e0fa4dfe7e150f52c45674bbfb209431acc4ec,G,GLD,8,100000000000000000,
0x06e1100df8fb383a92957807cac5013345973f2b,null,null,null,3600570502,
0x06ff263b8e09476fb6c237488dc8420b3553d5bb,SR2,Legion 3,4,9000,
0x0712e1506f9bf1c66c8ba997ff1bf998a057d536,CCC,Coincierge Club Coin,18,1000000000000000000000000000,
0x0715ae61d4c06ebef19ea49fc13391a192256c51,SEO,TheToken,0,1000000000,
0x0740a37ac9418858b36163cc74c28e55acd9fdba,ELBT,elbit Token,2,70000000,
0x0747af71e2034bc2d2fcad388a264f5ccdff505c,BVC,BlockVentureCoin,8,10000000000000000,
0x0754320a3c6f6a2222b722030752cf5e0968181e,LUOT,luot,18,50000000000000000000000,
0x0755dd5e734ac0d1c1ad9f5e51a2b17b5e8b8365,Ic,International coin,18,55000010000000000000000000,
0x079d3af48c9d24c85a598df5105b1ac95764a8ca,HDM,hippie.money,18,110000000000000000000000000,
0x07c344edd719a356775e1fbd852c63dc46167b76,CBUS,Columbus Token,18,18000000000000000000,
0x07d69a4c54a7f5b66b8726ead8cf35e0e55ccf14,DAsset_1,XT,3,1000000000,
0x07e60b94b154fd7dd8ec32ff9665f2ffa9b5bf44,TCBT,TestCoinBondToken,2,10000000000,
0x08035efb6f7af629be3b079910fd6bb9b0b6a787,LTCOIN,LUOTUO,4,100000000000000,
0x0805928ace6ac1b52ace387b193a45944dcd8c7c,SB,SB,3,1000000000000000,
0x08373bfb21af5fc39aa1a3d8c9f66178bbeec7e1,兆京秭,萬億為兆萬兆為京萬京為秭,4,115792080000000000000000000000000000000000000000000000000000000000000000000000,
0x083df817fcc5673f9a2beed2ec089eca2a72963e,null,null,18,0,
0x0841a80818d1ac08f2af5b21de0cabadd283e396,SPA,SpaceToken,18,35999999999999900000000000,
0x084264c53fbdefd039af6b39e9d2bf86f7158445,WKC,WuKongChain,4,10000000000000,
0x085d99a92c30c6d7b7ccf6a219f9a0ca9a7cffff,LRG,LrGeometry,18,1000000000000000000000000000,
0x085e367af88f70ccb632fe7e7716d8381b8468d1,CM,CoinsMet,18,10000000000000000000000000000000000000000000,
0x0862e2dcaacc570fc886cb47096a2e6ba7e640db,JBT,Julian Beltran Token,2,8400000000,
0x0862fb14e336e8f4faa9f3ea0bba2dd10247d34d,ERCMO,ERCmoney,8,10000000000000000,
0x086c3a6c24bf90a9baf691d1255aa6d4312102e1,救赎,MaoMaoToken,0,66666666,
0x0873fb56e4c4e111a6fa42b423f28530566d0577,FBT,Facebook Token,18,0,
0x088bfb6ee9103de55d933f766527b400dd7b353f,MAT,MAOToken,9,1000000000000000000,
